ID_LANCAMENTO|DT_LANCAMENTO|VL_LANCAMENTO|NM_FORNECEDOR
1001|2023-01-05|1500.00|Consultoria RH Ltda
1002|2023-01-10|3200.50|Folha Fácil Serviços
1003|2023-01-15|780.25|TechPeople Solutions
1004|2023-01-20|4500.00|Gestão Total RH
1005|2023-01-25|920.75|Recrutamento Express
1006|2023-02-03|2100.00|Capital Humano SA
1007|2023-02-08|650.40|Benefícios Plus
1008|2023-02-14|3800.00|RH Master Consultoria
1009|2023-02-19|1250.90|Talentos Brasil
1010|2023-02-24|5600.00|Payroll Systems
1011|2023-03-01|430.00|Treinamento Viva
1012|2023-03-07|2900.75|People First Ltda
1013|2023-03-12|1100.00|Soluções Trabalhistas
1014|2023-03-18|6700.50|HR Group Brasil
1015|2023-03-23|890.20|Folha Certa Serviços
1016|2023-04-04|3400.00|Gestão de Pessoas SA
1017|2023-04-09|760.00|BenefPay Ltda
1018|2023-04-15|2250.80|Consultores Associados
1019|2023-04-20|1875.00|HumanPro Brasil
1020|2023-04-26|4100.35|SmartRH Tecnologia
1021|2023-05-02|990.00|Folha Digital SA
1022|2023-05-08|3650.00|Gestão Eficaz RH
1023|2023-05-13|1420.60|Recrutadores Unidos
1024|2023-05-18|5200.00|Talentos em Ação
1025|2023-05-24|670.90|Benefícios Ágeis
1026|2023-06-01|2800.00|HR Solutions Brasil
1027|2023-06-06|1050.25|Treinamento Elite
1028|2023-06-12|4350.00|Capital RH Ltda
1029|2023-06-17|330.50|Folha Segura SA
1030|2023-06-22|7100.00|Consultoria Laboral
1031|2023-07-03|1600.75|PeopleWise Brasil
1032|2023-07-09|2450.00|Gestão Laboral SA
1033|2023-07-14|880.00|TalentHub Ltda
1034|2023-07-20|3900.50|RH Estratégico
1035|2023-07-25|540.00|Serviços de Folha SA
1036|2023-08-01|2700.25|Consultores RH Pro
1037|2023-08-07|1320.00|Benefícios Total
1038|2023-08-13|6300.00|SmartPeople Tecnologia
1039|2023-08-18|750.80|Recrutamento Ágil
1040|2023-08-24|4800.00|HR Outsourcing Brasil
1041|2023-09-05|1180.40|Soluções em RH SA
1042|2023-09-11|2600.00|Folha Master Ltda
1043|2023-09-16|960.75|Gestão Trabalhista
1044|2023-09-21|5500.00|People Solutions BR
1045|2023-09-27|410.00|BenefFlex Ltda
1046|2023-10-03|3150.50|Talentos Pro Brasil
1047|2023-10-09|1700.00|RH Completo SA
1048|2023-10-14|2350.25|Consultoria Humana
1049|2023-10-20|840.00|Folha Online Ltda
1050|2023-10-26|6900.75|HR Total Gestão
