ID_LANCAMENTO|DT_LANCAMENTO|VL_LANCAMENTO|NM_FORNECEDOR
1001|2023-01-05|1500.00|Fornecedor Alpha Ltda
1002|2023-01-10|3200.50|Beta Serviços S.A.
1003|2023-01-15|780.25|Gama Consultoria ME
1004|2023-01-20|4500.00|Delta Tecnologia Ltda
1005|2023-01-25|920.75|Epsilon RH Soluções
1006|2023-02-03|2100.00|Zeta Recursos Humanos
1007|2023-02-08|650.00|Eta Treinamentos ME
1008|2023-02-12|3800.90|Theta Gestão Ltda
1009|2023-02-18|1100.45|Iota Consultores S.A.
1010|2023-02-22|5600.00|Kappa Benefícios Ltda
1011|2023-03-01|870.30|Lambda Folha Pgto ME
1012|2023-03-07|2900.00|Mu Sistemas Ltda
1013|2023-03-13|430.60|Nu Assessoria S.A.
1014|2023-03-19|7200.00|Xi Corporação Ltda
1015|2023-03-25|1350.80|Omicron Serviços ME
1016|2023-04-04|3100.00|Pi Gestão de Pessoas
1017|2023-04-09|980.00|Rho Folha Digital Ltda
1018|2023-04-14|6400.50|Sigma Recursos S.A.
1019|2023-04-20|215.75|Tau Soluções ME
1020|2023-04-26|4850.00|Upsilon Tech Ltda
1021|2023-05-02|1700.40|Phi Consultoria S.A.
1022|2023-05-08|3300.00|Chi Sistemas RH Ltda
1023|2023-05-14|560.90|Psi Assessoria ME
1024|2023-05-20|8900.00|Omega Gestão Corp
1025|2023-05-26|2450.00|Alfa Prime Serviços
1026|2023-06-01|1250.60|Bravos Consultoria Ltda
1027|2023-06-07|3700.00|Cosmos RH S.A.
1028|2023-06-13|840.25|Delta Plus ME
1029|2023-06-19|5100.00|Eagle Benefícios Ltda
1030|2023-06-25|1900.80|Falcon Gestão S.A.
1031|2023-07-03|680.00|Genesis Treinamentos
1032|2023-07-09|4200.00|Horizon Folha Ltda
1033|2023-07-15|1050.35|Iron Consultores ME
1034|2023-07-21|7500.00|Jupiter RH Corp
1035|2023-07-27|2200.90|Kronos Serviços Ltda
1036|2023-08-02|390.00|Lion Assessoria S.A.
1037|2023-08-08|6100.00|Matrix Gestão Ltda
1038|2023-08-14|1480.50|Nexus Soluções ME
1039|2023-08-20|3950.00|Orbit Recursos S.A.
1040|2023-08-26|720.15|Polar Consultoria Ltda
1041|2023-09-01|5300.00|Quantum RH Ltda
1042|2023-09-07|1620.70|Radius Serviços S.A.
1043|2023-09-13|4700.00|Solar Gestão ME
1044|2023-09-19|890.40|Terra Consultores Ltda
1045|2023-09-25|2750.00|Ultra Benefícios S.A.
1046|2023-10-03|310.85|Vortex Folha Pgto ME
1047|2023-10-09|6800.00|Watt RH Soluções
1048|2023-10-15|1330.00|Xenon Gestão Ltda
1049|2023-10-21|4100.60|Yield Consultoria S.A.
1050|2023-10-27|2600.00|Zenith Recursos Ltda
